keys,en,ru,ua
trait_juicy,juicy,сочный,соковитий
trait_sweet,sweet,сладкий,солодкий
trait_salty,salty,соленый,солений
trait_bitter,bitter,горький,гіркий
trait_fruity,fruity,фруктовый,фруктовий
trait_berry,berry,ягодный,ягідний
trait_fresh,fresh,свежий,свіжий
trait_veggie,veggie,овощной,овочевий
trait_sour,sour,кислый,кислий
trait_citrus,citrus,цитрусовый,цитрусовий
trait_plain,plain,обычный,звичайний
trait_strength_1,barely,еле,ледве
trait_strength_2,somewhat,немного,трохи
trait_strength_3,moderately,умеренно,
trait_strength_4,very,очень,дуже
trait_strength_5,extra,особо,особливо
trait_strength_6,impossibly,невозможно,неможливо
