keys,en,ru,ua
up_portal_license_1,Further Islands License,Л-я на дальние острова,Л-я на дальні острови
up_portal_license_2,Danger Islands License,Л-я на опасные острова,Л-я на небезбечні острови
up_portal_license_3,Rich Islands License,Л-я на богатые острова,Л-я на багаті острови
up_portal_storage_1,Extra storage I,Доп. хранилище I,Дод. сховище I
up_portal_storage_2,Extra storage II,Доп. хранилище II,Дод. сховище II
up_portal_storage_3,Extra storage III,Доп. хранилище III,Дод. сховище III
up_portal_storage_4,Extra storage IV,Доп. хранилище IV,Дод. сховище IV
up_armor_1,Light Armor,Легкая броня,Легкі лати
up_armor_2,Medium Armor,Средня броня,Середні лати
up_armor_3,Heavy Armor,Тяжелая броня,Важкі лати
up_armor_4,Magic Armor,Магическая броня,Магічні лати
up_dexterity_1,Novice Swordsmanship,Базовое фехтование,Базове фехтування
up_dexterity_2,Advanced Swordsmanship,Продвинутое фехтование,Просунуте фехтування
up_dexterity_3,Expert Swordsmanship,Экспертное фехтование,Експертне фехтування
up_dexterity_4,Master Swordsmanship,Мастерское фехтование,Майстернє фехтування
up_max_food_1,Rationing I,Нормирование I,Нормування I
up_max_food_2,Rationing II,Нормирование II,Нормування II
up_max_food_3,Rationing III,Нормирование III,Нормування III
up_max_food_4,Rationing IV,Нормирование IV,Нормування IV
up_pockets_storage_1,Inventory Management I,Упр. инвентарем I,Упр. інвентарем I
up_pockets_storage_2,Inventory Management II,Упр. инвентарем II,Упр. інвентарем II
up_pockets_storage_3,Inventory Management III,Упр. инвентарем III,Упр. інвентарем III
up_pockets_storage_4,Inventory Management IV,Упр. инвентарем IV,Упр. інвентарем IV
